week 1, 1, zdg, 3, 3, 5, 7, 3
week 1, 2, rhfge, 4, 7, 4, 22, 6
week 1, 3, fgj, 6, 3, 8, 9, 10
week 1, 4, sfh, 3, 2, 8, 9, 1
week 1, 5, sdfg, 7, 8, 9, 2, 3
week 1, 6, dfhdfhg, 6, 7, 2, 9, 12
week 1, 7, dfhdfh, 5, 6, 8, 9, 2
week 9, 234, sfbfdh, 12, 9, 7, 8, 11
week 9, 2, rtjhrtyj, 12, 22, 4, 0, 0
week 9, 3, ehrtj, 6, 7, 8, 9, 10
week 9, 4, dzghnrftj, 4, 6, 7, 8, 9
week 9, 5, juyk, 5, 6, 7, 8, 12
week 9, 6, xfgjj, 9, 10, 11, 2, 3
week 9, 7, dfgjhrtj, 6, 7, 3, 9, 2
week 8, 1, jhg, 6, 8, 5, 9, 10
week 8, 2, wdf, 44, 44, 44, 44, 44
week 8, 3, wdf, 45, 5, 6, 7, 5
week 8, 4, dfb, 9, 10, 2, 1, 14
week 8, 5, egvr, 7, 8, 9, 1, 14
week 8, 6, nghy, 8, 9, 12, 11, 1
week 8, 7, 6, 8, 9, 12, 11, 1
week 7, 3, 4, 5, 6, 7, 4, 32
week 7, 6, 3, 5, 6, 3, 6, 3
week 7, 5, 76, 4, 3, 5, 67, 3
week 7, 5, 6, 4, 3, 5, 76, 7
week 7, 4, 3, 4, 6, 7, 4, 3
week 7, 5, 6, 7, 8, 4, 3, 6
week 7, 7, 4, 6, 8, 4, 3, 6
week 6, 3, 4, 5, 3, 4, 3, 5
week 6, 3, 4, 6, 3, 2, 4, 6
week 6, 3, 2, 5, 7, 4, 3, 2
week 6, 6, 4, 3, 6, 7, 3, 2
week 6, 6, 7, 8, 9, 4, 6, 3
week 6, 3, 5, 67, 8, 5, 34, 3
week 6, 6, 7, 8, 3, 5, 7, 4
week 5, 3, 4, 5, 6, 7, 8, 9
week 5, 2, 3, 4, 5, 6, 7, 8
week 5, 3, 4, 5, 2, 4, 5, 7
week 5, 4, 5, 6, 7, 4, 2, 4
week 5, 5, 6, 7, 43, 56, 6, 7
week 5, 6, 8, 9, 4, 3, 6, 8
week 5, 7, 8, 3, 5, 9, 7, 5
week 4, 2, 4, 7, 4, 6, 43, 5
week 4, 2, 4, 65, 7, 54, 4, 3
week 4, 3, 5, 76, 8, 5, 4, 3
week 4, 4, 6, 7, 8, 5, 4, 7
week 4, 5, 76, 8, 4, 3, 6, 5
week 4, 6, 8, 6, 4, 7, 8, 5
week 4, 7, 4, 6, 7, 45, 67, 54
week 3, 1, 2, 3, 4, 5, 6, 7
week 3, 2, 2, 23, 4, 5, 6, 7
week 3, 3, 4, 5, 3, 5, 7, 45
week 3, 4, 3, 5, 7, 4, 2, 5
week 3, 5, 7, 8, 4, 3, 6, 7
week 3, 6, 9, 8, 9, 78, 5, 4
week 3, 7, 5, 6, 7, 4, 6, 3
week 2, 1, 5, 7, 4, 3, 6, 8
week 2, 2, 4, 65, 7, 4, 3, 76
week 2, 3, 5, 7, 8, 5, 3, 6
week 2, 4, 6, 8, 9, 3, 2, 6
week 2, 5, 7, 8, 9, 4, 3, 7
week 2, 6, 7, 9, 3, 4, 6, 7
week 2, 7, 9, 6, 34, 3, 6, 8
week 1, 3, 4, 6, 4, 5, 3, 6
week 1, 2, 5, 7, 4, 3, 6, 8
week 1, 3, 45, 6, 7, 4, 3, 76
week 1, 4, 5, 76, 4, 67, 8, 43
week 1, 5, 3, 6, 7, 8, 9, 5
week 1, 6, 3, 6, 8, 9, 4, 2
week 1, 7, 4, 7, 3, 5, 7, 4
